iterations,reward
1,-11515.148570677042
2,-8902.819788320703
3,-8319.482899917459
4,-8884.800133773402
5,-6924.20603174257
6,-8233.153987846985
7,-5415.909129056593
8,-7913.311340502284
9,-5939.589869336627
10,-7168.027855310325
11,-4980.931348380134
12,-4911.544198793334
13,-4726.808231760784
14,-4739.698289018678
15,-4369.119148125708
16,-5467.982343305801
17,-4127.6248272506255
18,-4841.089587232517
19,-5229.87795168593
20,-5458.925224572305
21,-3779.9865926667862
22,-4666.152752662121
23,-4064.5068727594407
24,-4810.470160305274
25,-3488.055982911364
26,-4850.528040774649
27,-3726.748815504108
28,-4538.833081410601
29,-6578.078819495914
30,-5548.918241677801
31,-5164.324573153779
32,-5361.67155005287
33,-5283.685257647917
34,-4967.238668628662
35,-8130.914836225134
36,-5043.123780775699
37,-4624.975494698429
38,-4890.988213673002
39,-6235.175919030772
40,-5528.412825239561
41,-4989.245639713629
42,-4840.712191824763
43,-4372.070535611514
44,-3784.4150279221035
45,-5704.476477799345
46,-4714.524122043577
47,-5722.620747293303
48,-5764.54000052274
49,-4493.2437059281765
50,-4619.492733355204
51,-4306.326419213334
52,-5331.7012499095645
53,-5946.874129909509
54,-4866.532306208733
55,-5346.466215809
56,-4965.530661924395
57,-4334.776045548306
58,-6574.7066147571895
59,-6751.162327440847
60,-4569.083997639105
61,-4012.0985910565832
62,-4163.064514885401
63,-5387.87603347507
64,-6695.231665595331
65,-5547.615563602783
66,-5858.735005387906
67,-4989.726111398589
68,-5252.853911545643
69,-8444.599624848048
70,-5509.368252662476
71,-6177.740849507047
72,-5143.5748405042405
73,-6617.842436075655
74,-4091.905845718728
75,-4678.367791684916
76,-4902.318278609326
77,-4597.011145101914
78,-4743.994272130027
79,-4344.066936248811
80,-4750.332279297645
81,-7034.60088837067
82,-6502.265913923116
83,-5599.206060461098
84,-5482.340802110944
85,-4670.583023969449
86,-5544.912087697305
87,-6757.6674436941685
88,-4520.966868553259
89,-4185.802907715515
90,-4494.141933022442
91,-6106.069252139369
92,-6600.204751562363
93,-6711.851432671632
94,-4183.9503238403695
95,-4269.602784147366
96,-6422.948535482852
97,-4537.814789040182
98,-7566.782974036242
99,-5246.424150253781
100,-4522.537113496479
101,-5728.942419288748
102,-3708.817860986186
103,-3904.6512144708495
104,-3563.515412928269
105,-3987.7212630893996
106,-4443.169609879826
107,-4460.847188243935
108,-5339.020423655477
109,-6392.866991255784
110,-6178.1345671513
111,-3454.078048740871
112,-4913.111674376599
113,-4379.939194649762
114,-6242.54771511796
115,-5968.501137438545
116,-4148.936935127685
117,-8116.904920414531
118,-5391.8717938307345
119,-7104.414157569011
120,-4815.91268333791
121,-5248.6004872139565
122,-4694.057110309598
123,-4426.034158587347
124,-5686.445400714234
125,-4609.173323347239
126,-6081.09139719964
127,-4758.154918561192
128,-5157.966558184849
129,-3518.214418933223
130,-4280.028394783216
131,-6100.891530706363
132,-4821.562853943771
133,-3837.574081644437
134,-3008.718534148626
135,-4937.630534814802
136,-6460.005318317494
137,-4362.265125965589
138,-6437.929659066405
139,-4830.060330704646
140,-3969.450821969078
141,-7362.217942023613
142,-3817.5133936332063
